Table 1: Cumulative Number of Cases Tested Positive for COVID-19 - as reported on that date on SG website,,,,,,,,,,,,,,,,,,,,,
"(asterisk * denotes less than 5, for disclosure reasons).",,,,,,,,,,,,,,,,,,,,,
Date notified,NHS Ayrshire & Arran,NHS Borders,NHS Dumfries & Galloway,NHS Fife,NHS Forth Valley,NHS Grampian,NHS Greater Glasgow & Clyde,NHS Highland,NHS Lanarkshire,NHS Lothian,NHS Orkney,NHS Shetland,NHS Tayside,NHS Western Isles,Scotland,,,,,,
02/08/2020," 1,277 ", 347 , 303 , 947 ," 1,097 "," 1,470 "," 4,994 ", 383 ," 2,785 "," 3,208 ", 9 , 54 ," 1,795 ", 7 ," 18,676 ",,,,,,
03/08/2020," 1,277 ", 347 , 303 , 947 ," 1,097 "," 1,481 "," 5,000 ", 383 ," 2,785 "," 3,209 ", 9 , 54 ," 1,795 ", 7 ," 18,694 ",,,,,,
04/08/2020," 1,277 ", 347 , 304 , 947 ," 1,097 "," 1,496 "," 5,004 ", 383 ," 2,785 "," 3,212 ", 9 , 54 ," 1,795 ", 7 ," 18,717 ",,,,,,
05/08/2020," 1,278 ", 347 , 304 , 948 ," 1,098 "," 1,532 "," 5,019 ", 385 ," 2,788 "," 3,215 ", 9 , 54 ," 1,797 ", 7 ," 18,781 ",,,,,,
06/08/2020," 1,278 ", 347 , 305 , 948 ," 1,099 "," 1,570 "," 5,036 ", 385 ," 2,790 "," 3,218 ", 9 , 54 ," 1,801 ", 7 ," 18,847 ",,,,,,
07/08/2020," 1,279 ", 347 , 305 , 952 ," 1,100 "," 1,597 "," 5,041 ", 385 ," 2,792 "," 3,219 ", 9 , 54 ," 1,803 ", 7 ," 18,890 ",,"*** on 7 August 2020, NHS Grampian, NHS Greater Glasgow & Clyde and NHS Lothian each de-notified one previous case - their numbers represent the net gain. ***",,,,
08/08/2020," 1,280 ", 348 , 305 , 953 ," 1,102 "," 1,636 "," 5,050 ", 386 ," 2,794 "," 3,222 ", 9 , 54 ," 1,804 ", 7 ," 18,950 ",,,,,,
09/08/2020," 1,282 ", 348 , 305 , 953 ," 1,107 "," 1,664 "," 5,052 ", 386 ," 2,797 "," 3,227 ", 9 , 55 ," 1,806 ", 7 ," 18,998 ",,*** One positive case that was assigned to NHS Grampian on 8 Auguust 2020 has been reassigned to NHS Shetland as they are a resident of NHS Shetland and had been tested while visiting Grampian ***,,,,
10/08/2020," 1,283 ", 348 , 305 , 954 ," 1,103 "," 1,682 "," 5,058 ", 386 ," 2,798 "," 3,230 ", 9 , 55 ," 1,809 ", 7 ," 19,027 ",,"*** on 10 August 2020, NHS Forth Valley de-notified four previous cases - their numbers represent the net change (negative). ***",,,,
11/08/2020," 1,283 ", 349 , 305 , 957 ," 1,104 "," 1,709 "," 5,071 ", 388 ," 2,799 "," 3,231 ", 9 , 56 ," 1,811 ", 7 ," 19,079 ",,,,,,
12/08/2020," 1,285 ", 349 , 305 , 957 ," 1,106 "," 1,733 "," 5,079 ", 388 ," 2,801 "," 3,236 ", 9 , 56 ," 1,815 ", 7 ," 19,126 ",,,,,,
13/08/2020," 1,286 ", 350 , 305 , 959 ," 1,107 "," 1,759 "," 5,089 ", 388 ," 2,801 "," 3,237 ", 12 , 56 ," 1,817 ", 7 ," 19,173 ",,*** One positive case in NHS Lanarkshire was de-notified - their numbers represent a net gain of zero but one new case was reported on 13 August 2020.***,,,,
14/08/2020," 1,286 ", 350 , 305 , 964 ," 1,107 "," 1,787 "," 5,098 ", 389 ," 2,813 "," 3,239 ", 14 , 56 ," 1,823 ", 7 ," 19,238 ",,,,,,
15/08/2020," 1,286 ", 350 , 305 , 964 ," 1,108 "," 1,812 "," 5,106 ", 389 ," 2,821 "," 3,243 ", 15 , 56 ," 1,827 ", 7 ," 19,289 ",,,,,,
16/08/2020," 1,287 ", 350 , 305 , 964 ," 1,108 "," 1,826 "," 5,117 ", 389 ," 2,824 "," 3,248 ", 16 , 56 ," 1,835 ", 7 ," 19,332 ",,,,,,
17/08/2020," 1,288 ", 350 , 305 , 966 ," 1,108 "," 1,839 "," 5,123 ", 390 ," 2,824 "," 3,248 ", 16 , 56 ," 1,838 ", 7 ," 19,358 ",,,,,,
18/08/2020," 1,290 ", 350 , 305 , 967 ," 1,109 "," 1,846 "," 5,135 ", 391 ," 2,830 "," 3,251 ", 16 , 56 ," 1,854 ", 7 ," 19,407 ",,,,,,
19/08/2020," 1,293 ", 350 , 305 , 969 ," 1,110 "," 1,861 "," 5,145 ", 392 ," 2,833 "," 3,254 ", 16 , 56 ," 1,866 ", 7 ," 19,457 ",,,,,,
20/08/2020," 1,295 ", 350 , 306 , 969 ," 1,112 "," 1,873 "," 5,167 ", 393 ," 2,843 "," 3,254 ", 16 , 56 ," 1,893 ", 7 ," 19,534 ",,,,,,
21/08/2020," 1,295 ", 350 , 307 , 970 ," 1,112 "," 1,883 "," 5,183 ", 396 ," 2,847 "," 3,259 ", 16 , 56 ," 1,924 ", 7 ," 19,605 ",,,,,,
22/08/2020," 1,298 ", 352 , 308 , 972 ," 1,113 "," 1,891 "," 5,194 ", 399 ," 2,855 "," 3,265 ", 16 , 56 ," 2,002 ", 7 ," 19,728 ",,,,,,
23/08/2020," 1,302 ", 353 , 309 , 977 ," 1,114 "," 1,894 "," 5,210 ", 399 ," 2,859 "," 3,276 ", 16 , 56 ," 2,039 ", 7 ," 19,811 ",,,,,,
24/08/2020," 1,304 ", 355 , 309 , 978 ," 1,117 "," 1,899 "," 5,225 ", 399 ," 2,876 "," 3,283 ", 16 , 56 ," 2,053 ", 7 ," 19,877 ",,,,,,
25/08/2020," 1,306 ", 356 , 309 , 978 ," 1,118 "," 1,905 "," 5,237 ", 401 ," 2,881 "," 3,291 ", 16 , 56 ," 2,060 ", 7 ," 19,921 ",,,,,,
26/08/2020," 1,308 ", 359 , 310 , 979 ," 1,118 "," 1,910 "," 5,252 ", 402 ," 2,889 "," 3,306 ", 16 , 56 ," 2,076 ", 7 ," 19,988 ",,,,,,
27/08/2020," 1,310 ", 360 , 311 , 980 ," 1,120 "," 1,919 "," 5,273 ", 403 ," 2,897 "," 3,313 ", 16 , 56 ," 2,091 ", 7 ," 20,056 ",,,,,,
28/08/2020," 1,314 ", 364 , 312 , 982 ," 1,123 "," 1,921 "," 5,287 ", 403 ," 2,900 "," 3,321 ", 16 , 56 ," 2,101 ", 7 ," 20,107 ",,,,,,
29/08/2020," 1,324 ", 366 , 312 , 985 ," 1,126 "," 1,927 "," 5,323 ", 407 ," 2,907 "," 3,327 ", 16 , 56 ," 2,112 ", 7 ," 20,195 ",,,,,,
30/08/2020," 1,340 ", 367 , 313 , 989 ," 1,133 "," 1,933 "," 5,362 ", 408 ," 2,933 "," 3,342 ", 16 , 56 ," 2,119 ", 7 ," 20,318 ",,,,,,
31/08/2020," 1,348 ", 370 , 313 , 993 ," 1,142 "," 1,937 "," 5,431 ", 411 ," 2,960 "," 3,360 ", 17 , 56 ," 2,133 ", 7 ," 20,478 ",,,,,,
01/09/2020," 1,359 ", 372 , 314 , 997 ," 1,149 "," 1,939 "," 5,497 ", 417 ," 2,987 "," 3,378 ", 17 , 56 ," 2,143 ", 7 ," 20,632 ",,,,,,
02/09/2020," 1,365 ", 373 , 314 ," 1,000 "," 1,156 "," 1,942 "," 5,583 ", 421 ," 3,013 "," 3,394 ", 17 , 56 ," 2,147 ", 7 ," 20,788 ",,,,,,
03/09/2020," 1,371 ", 375 , 314 ," 1,000 "," 1,157 "," 1,948 "," 5,636 ", 432 ," 3,028 "," 3,397 ", 17 , 56 ," 2,151 ", 7 ," 20,889 ",,,,,,
04/09/2020," 1,381 ", 378 , 314 ," 1,006 "," 1,164 "," 1,954 "," 5,709 ", 445 ," 3,044 "," 3,414 ", 17 , 56 ," 2,157 ", 9 ," 21,048 ",,Please see note C6 on the notes page regarding the increase in Western Isles,,,,
05/09/2020," 1,388 ", 379 , 315 ," 1,006 "," 1,178 "," 1,956 "," 5,777 ", 451 ," 3,064 "," 3,428 ", 17 , 56 ," 2,165 ", 9 ," 21,189 ",,,,,,
06/09/2020," 1,399 ", 383 , 318 ," 1,014 "," 1,192 "," 1,970 "," 5,869 ", 457 ," 3,094 "," 3,446 ", 17 , 56 ," 2,173 ", 9 ," 21,397 ",,,,,,
07/09/2020," 1,408 ", 384 , 318 ," 1,016 "," 1,195 "," 1,978 "," 5,947 ", 463 ," 3,113 "," 3,459 ", 17 , 56 ," 2,180 ", 9 ," 21,543 ",,,,,,
08/09/2020," 1,416 ", 386 , 322 ," 1,018 "," 1,203 "," 1,983 "," 6,038 ", 467 ," 3,145 "," 3,475 ", 17 , 56 ," 2,184 ", 9 ," 21,719 ",,,,,,
09/09/2020," 1,425 ", 389 , 323 ," 1,025 "," 1,213 "," 1,991 "," 6,101 ", 470 ," 3,164 "," 3,504 ", 17 , 56 ," 2,191 ", 9 ," 21,878 ",,,,,,
10/09/2020," 1,433 ", 393 , 326 ," 1,030 "," 1,216 "," 1,996 "," 6,166 ", 473 ," 3,210 "," 3,516 ", 17 , 57 ," 2,197 ", 9 ," 22,039 ",,,,,,
11/09/2020," 1,445 ", 395 , 326 ," 1,033 "," 1,223 "," 1,998 "," 6,246 ", 477 ," 3,249 "," 3,540 ", 17 , 57 ," 2,199 ", 9 ," 22,214 ",,,,,,
12/09/2020," 1,449 ", 401 , 329 ," 1,038 "," 1,224 "," 2,003 "," 6,352 ", 481 ," 3,297 "," 3,575 ", 17 , 57 ," 2,203 ", 9 ," 22,435 ",,,,,,
13/09/2020," 1,460 ", 413 , 330 ," 1,042 "," 1,228 "," 2,011 "," 6,456 ", 489 ," 3,359 "," 3,600 ", 17 , 57 ," 2,208 ", 9 ," 22,679 ",,,,,,
14/09/2020," 1,470 ", 415 , 331 ," 1,044 "," 1,230 "," 2,017 "," 6,483 ", 494 ," 3,367 "," 3,606 ", 17 , 57 ," 2,209 ", 9 ," 22,749 ",,,,,,
15/09/2020," 1,483 ", 420 , 333 ," 1,049 "," 1,239 "," 2,026 "," 6,584 ", 501 ," 3,426 "," 3,659 ", 17 , 57 ," 2,213 ", 9 ," 23,016 ",,,,,,
16/09/2020," 1,492 ", 424 , 340 ," 1,052 "," 1,254 "," 2,042 "," 6,689 ", 512 ," 3,466 "," 3,704 ", 17 , 57 ," 2,225 ", 9 ," 23,283 ",,,,,,
17/09/2020," 1,506 ", 433 , 341 ," 1,063 "," 1,263 "," 2,055 "," 6,801 ", 525 ," 3,518 "," 3,751 ", 17 , 57 ," 2,233 ", 10 ," 23,573 ",,Please see note C6 on the notes page regarding the increase in Western Isles,,,,
18/09/2020," 1,514 ", 447 , 343 ," 1,070 "," 1,273 "," 2,065 "," 6,870 ", 535 ," 3,547 "," 3,781 ", 17 , 57 ," 2,247 ", 10 ," 23,776 ",,,,,,
19/09/2020," 1,527 ", 460 , 346 ," 1,091 "," 1,281 "," 2,078 "," 6,986 ", 549 ," 3,603 "," 3,861 ", 19 , 60 ," 2,255 ", 10 ," 24,126 ",,,,,,
20/09/2020," 1,528 ", 465 , 350 ," 1,114 "," 1,293 "," 2,098 "," 7,046 ", 557 ," 3,652 "," 3,914 ", 19 , 60 ," 2,265 ", 10 ," 24,371 ",,,,,,
21/09/2020," 1,535 ", 473 , 354 ," 1,128 "," 1,309 "," 2,114 "," 7,149 ", 559 ," 3,699 "," 3,944 ", 19 , 60 ," 2,273 ", 10 ," 24,626 ",,,,,,
22/09/2020," 1,542 ", 473 , 356 ," 1,142 "," 1,324 "," 2,121 "," 7,330 ", 566 ," 3,791 "," 3,995 ", 19 , 60 ," 2,280 ", 10 ," 25,009 ",,,,,,
23/09/2020," 1,555 ", 478 , 360 ," 1,165 "," 1,336 "," 2,140 "," 7,554 ", 574 ," 3,898 "," 4,052 ", 19 , 60 ," 2,294 ", 10 ," 25,495 ",,,,,,
24/09/2020," 1,567 ", 479 , 367 ," 1,182 "," 1,352 "," 2,159 "," 7,773 ", 594 ," 3,964 "," 4,125 ", 20 , 60 ," 2,308 ", 10 ," 25,960 ",,,,,,
25/09/2020," 1,591 ", 487 , 370 ," 1,200 "," 1,363 "," 2,171 "," 8,028 ", 609 ," 4,025 "," 4,244 ", 20 , 60 ," 2,337 ", 13 ," 26,518 ",,,,,,
26/09/2020," 1,618 ", 493 , 379 ," 1,246 "," 1,379 "," 2,196 "," 8,318 ", 622 ," 4,116 "," 4,357 ", 22 , 60 ," 2,413 ", 13 ," 27,232 ",,,,,,
27/09/2020," 1,638 ", 497 , 388 ," 1,251 "," 1,385 "," 2,208 "," 8,490 ", 630 ," 4,174 "," 4,397 ", 22 , 60 ," 2,419 ", 17 ," 27,576 ",,,,,,
28/09/2020," 1,646 ", 501 , 391 ," 1,263 "," 1,396 "," 2,221 "," 8,543 ", 634 ," 4,211 "," 4,451 ", 22 , 60 ," 2,433 ", 26 ," 27,798 ",,,,,,
29/09/2020," 1,684 ", 509 , 399 ," 1,299 "," 1,420 "," 2,275 "," 8,845 ", 646 ," 4,302 "," 4,631 ", 23 , 60 ," 2,483 ", 28 ," 28,604 ",,,,,,
30/09/2020," 1,703 ", 514 , 411 ," 1,331 "," 1,448 "," 2,313 "," 9,077 ", 653 ," 4,375 "," 4,791 ", 23 , 60 ," 2,515 ", 30 ," 29,244 ",,,,,,
01/10/2020," 1,730 ", 515 , 416 ," 1,358 "," 1,467 "," 2,338 "," 9,321 ", 669 ," 4,498 "," 4,957 ", 23 , 60 ," 2,528 ", 32 ," 29,912 ",,,,,,
02/10/2020," 1,776 ", 520 , 429 ," 1,381 "," 1,492 "," 2,362 "," 9,645 ", 681 ," 4,600 "," 5,121 ", 23 , 60 ," 2,558 ", 39 ," 30,687 ",,,,,,
03/10/2020," 1,810 ", 524 , 434 ," 1,404 "," 1,526 "," 2,381 "," 9,944 ", 700 ," 4,752 "," 5,264 ", 23 , 60 ," 2,585 ", 44 ," 31,451 ",,,,,,
04/10/2020," 1,852 ", 530 , 441 ," 1,430 "," 1,553 "," 2,407 "," 10,210 ", 715 ," 4,890 "," 5,440 ", 23 , 60 ," 2,614 ", 44 ," 32,209 ",,,,,,
05/10/2020," 1,892 ", 540 , 446 ," 1,452 "," 1,589 "," 2,431 "," 10,452 ", 722 ," 5,020 "," 5,585 ", 23 , 60 ," 2,647 ", 47 ," 32,906 ",,,,,,
06/10/2020," 1,932 ", 544 , 449 ," 1,473 "," 1,631 "," 2,451 "," 10,755 ", 728 ," 5,187 "," 5,749 ", 23 , 60 ," 2,674 ", 50 ," 33,706 ",,,,,,
07/10/2020," 1,995 ", 549 , 464 ," 1,515 "," 1,667 "," 2,485 "," 11,165 ", 747 ," 5,382 "," 5,939 ", 23 , 60 ," 2,716 ", 53 ," 34,760 ",,,,,,
08/10/2020," 2,068 ", 560 , 471 ," 1,537 "," 1,701 "," 2,525 "," 11,570 ", 758 ," 5,612 "," 6,091 ", 23 , 60 ," 2,758 ", 53 ," 35,787 ",,,,,,
09/10/2020," 2,152 ", 564 , 484 ," 1,564 "," 1,754 "," 2,593 "," 12,010 ", 772 ," 5,918 "," 6,283 ", 23 , 60 ," 2,800 ", 56 ," 37,033 ",,,,,,
10/10/2020," 2,223 ", 567 , 510 ," 1,602 "," 1,784 "," 2,645 "," 12,367 ", 784 ," 6,122 "," 6,443 ", 24 , 61 ," 2,854 ", 56 ," 38,042 ",,,,,,
11/10/2020," 2,295 ", 570 , 547 ," 1,634 "," 1,829 "," 2,684 "," 12,663 ", 795 ," 6,347 "," 6,601 ", 24 , 62 ," 2,890 ", 57 ," 38,998 ",,,,,,
12/10/2020," 2,383 ", 574 , 556 ," 1,653 "," 1,862 "," 2,719 "," 13,022 ", 807 ," 6,591 "," 6,713 ", 24 , 62 ," 2,935 ", 58 ," 39,959 ",,,,,,
13/10/2020," 2,478 ", 585 , 580 ," 1,695 "," 1,918 "," 2,774 "," 13,441 ", 820 ," 6,928 "," 6,904 ", 24 , 62 ," 2,989 ", 58 ," 41,256 ",,,,,,
14/10/2020," 2,570 ", 589 , 595 ," 1,743 "," 1,976 "," 2,816 "," 13,978 ", 828 ," 7,255 "," 7,143 ", 24 , 63 ," 3,047 ", 58 ," 42,685 ",,,,,,
15/10/2020," 2,681 ", 600 , 624 ," 1,775 "," 2,029 "," 2,855 "," 14,428 ", 842 ," 7,629 "," 7,304 ", 24 , 63 ," 3,124 ", 58 ," 44,036 ",,,,,,
16/10/2020," 2,785 ", 605 , 653 ," 1,802 "," 2,059 "," 2,889 "," 14,844 ", 856 ," 7,938 "," 7,465 ", 26 , 63 ," 3,188 ", 59 ," 45,232 ",,,,,,
17/10/2020," 2,888 ", 612 , 663 ," 1,829 "," 2,099 "," 2,927 "," 15,279 ", 867 ," 8,284 "," 7,579 ", 26 , 63 ," 3,221 ", 62 ," 46,399 ",,,,,,
18/10/2020," 2,926 ", 614 , 670 ," 1,832 "," 2,108 "," 2,935 "," 15,382 ", 874 ," 8,382 "," 7,614 ", 26 , 63 ," 3,227 ", 62 ," 46,715 ",,Please see note C9 on the notes page,,,,
19/10/2020," 2,983 ", 619 , 682 ," 1,857 "," 2,132 "," 2,962 "," 15,744 ", 890 ," 8,676 "," 7,736 ", 26 , 63 ," 3,276 ", 62 ," 47,708 ",,,,,,
20/10/2020," 3,099 ", 630 , 698 ," 1,903 "," 2,177 "," 3,016 "," 16,244 ", 902 ," 9,069 "," 7,934 ", 27 , 64 ," 3,339 ", 62 ," 49,164 ",,,,,,
21/10/2020," 3,204 ", 640 , 714 ," 1,939 "," 2,248 "," 3,055 "," 16,849 ", 921 ," 9,589 "," 8,164 ", 28 , 64 ," 3,424 ", 64 ," 50,903 ",,,,,,
22/10/2020," 3,355 ", 646 , 733 ," 2,005 "," 2,322 "," 3,086 "," 17,433 ", 947 ," 10,046 "," 8,356 ", 29 , 65 ," 3,528 ", 64 ," 52,615 ",,,,,,
23/10/2020," 3,472 ", 653 , 750 ," 2,053 "," 2,359 "," 3,103 "," 17,926 ", 956 ," 10,459 "," 8,525 ", 31 , 65 ," 3,599 ", 65 ," 54,016 ",,,,,,
24/10/2020," 3,646 ", 656 , 765 ," 2,111 "," 2,414 "," 3,131 "," 18,450 ", 970 ," 10,780 "," 8,691 ", 31 , 66 ," 3,670 ", 68 ," 55,449 ",,,,,,
25/10/2020," 3,778 ", 661 , 774 ," 2,176 "," 2,460 "," 3,186 "," 18,887 ", 983 ," 11,121 "," 8,846 ", 31 , 66 ," 3,715 ", 68 ," 56,752 ",,,,,,
26/10/2020," 3,875 ", 672 , 793 ," 2,217 "," 2,504 "," 3,218 "," 19,315 ", 994 ," 11,395 "," 8,951 ", 31 , 66 ," 3,775 ", 68 ," 57,874 ",,,,,,
27/10/2020," 3,971 ", 677 , 818 ," 2,255 "," 2,565 "," 3,240 "," 19,769 "," 1,008 "," 11,742 "," 9,153 ", 31 , 66 ," 3,838 ", 68 ," 59,201 ",,,,,,
28/10/2020," 4,062 ", 680 , 831 ," 2,291 "," 2,605 "," 3,268 "," 20,220 "," 1,026 "," 12,034 "," 9,305 ", 32 , 67 ," 3,914 ", 68 ," 60,403 ",,,,,,
29/10/2020," 4,183 ", 690 , 840 ," 2,345 "," 2,650 "," 3,294 "," 20,636 "," 1,036 "," 12,300 "," 9,422 ", 33 , 67 ," 3,966 ", 69 ," 61,531 ",,,,,,
30/10/2020," 4,268 ", 699 , 857 ," 2,384 "," 2,693 "," 3,324 "," 21,132 "," 1,057 "," 12,558 "," 9,616 ", 33 , 67 ," 4,055 ", 69 ," 62,812 ",,,,,,
31/10/2020," 4,352 ", 707 , 872 ," 2,434 "," 2,730 "," 3,366 "," 21,506 "," 1,068 "," 12,875 "," 9,737 ", 33 , 68 ," 4,096 ", 69 ," 63,913 ",,,,,,
01/11/2020," 4,435 ", 717 , 885 ," 2,471 "," 2,786 "," 3,396 "," 21,949 "," 1,095 "," 13,128 "," 9,877 ", 33 , 68 ," 4,152 ", 69 ," 65,061 ",,,,,,
02/11/2020," 4,511 ", 728 , 896 ," 2,509 "," 2,819 "," 3,413 "," 22,334 "," 1,106 "," 13,396 "," 9,946 ", 33 , 68 ," 4,184 ", 69 ," 66,012 ",,,,,,
03/11/2020," 4,618 ", 740 , 906 ," 2,551 "," 2,841 "," 3,443 "," 22,712 "," 1,118 "," 13,603 "," 10,074 ", 33 , 69 ," 4,234 ", 69 ," 67,011 ",,,,,,
04/11/2020," 4,706 ", 750 , 916 ," 2,634 "," 2,875 "," 3,485 "," 23,314 "," 1,130 "," 13,921 "," 10,237 ", 33 , 70 ," 4,304 ", 69 ," 68,444 ",,,,,,
05/11/2020," 4,786 ", 753 , 935 ," 2,703 "," 2,950 "," 3,512 "," 23,795 "," 1,148 "," 14,157 "," 10,365 ", 33 , 70 ," 4,384 ", 69 ," 69,660 ",,,,,,
06/11/2020," 4,861 ", 767 , 958 ," 2,750 "," 2,979 "," 3,536 "," 24,255 "," 1,165 "," 14,367 "," 10,477 ", 33 , 70 ," 4,445 ", 69 ," 70,732 ",,,,,,
07/11/2020," 4,979 ", 785 , 979 ," 2,825 "," 3,045 "," 3,567 "," 24,857 "," 1,185 "," 14,735 "," 10,668 ", 34 , 70 ," 4,530 ", 69 ," 72,328 ",,,,,,
08/11/2020," 5,080 ", 792 , 986 ," 2,886 "," 3,088 "," 3,609 "," 25,273 "," 1,200 "," 14,980 "," 10,790 ", 34 , 70 ," 4,585 ", 70 ," 73,443 ",,,,,,
09/11/2020," 5,153 ", 798 , 997 ," 2,936 "," 3,108 "," 3,635 "," 25,636 "," 1,206 "," 15,199 "," 10,897 ", 34 , 70 ," 4,616 ", 70 ," 74,355 ",,,,,,
10/11/2020," 5,243 ", 806 ," 1,003 "," 2,969 "," 3,147 "," 3,655 "," 25,929 "," 1,215 "," 15,370 "," 11,011 ", 34 , 70 ," 4,665 ", 70 ," 75,187 ",,,,,,
11/11/2020," 5,323 ", 812 ," 1,015 "," 3,038 "," 3,203 "," 3,706 "," 26,417 "," 1,224 "," 15,642 "," 11,156 ", 34 , 70 ," 4,737 ", 71 ," 76,448 ",,,,,,
12/11/2020," 5,399 ", 831 ," 1,033 "," 3,114 "," 3,234 "," 3,760 "," 26,891 "," 1,241 "," 15,873 "," 11,297 ", 35 , 70 ," 4,810 ", 72 ," 77,660 ",,,,,,
13/11/2020," 5,476 ", 841 ," 1,046 "," 3,262 "," 3,314 "," 3,810 "," 27,324 "," 1,254 "," 16,140 "," 11,460 ", 35 , 70 ," 4,911 ", 74 ," 79,017 ",,,,,,
14/11/2020," 5,554 ", 848 ," 1,053 "," 3,344 "," 3,373 "," 3,885 "," 27,724 "," 1,268 "," 16,358 "," 11,580 ", 35 , 70 ," 4,968 ", 75 ," 80,135 ",,,,,,
15/11/2020," 5,644 ", 867 ," 1,060 "," 3,412 "," 3,443 "," 3,937 "," 28,183 "," 1,277 "," 16,584 "," 11,688 ", 35 , 70 ," 5,019 ", 75 ," 81,294 ",,,,,,
16/11/2020," 5,692 ", 881 ," 1,068 "," 3,454 "," 3,506 "," 3,970 "," 28,403 "," 1,288 "," 16,720 "," 11,789 ", 35 , 71 ," 5,059 ", 75 ," 82,011 ",,,,,,
17/11/2020," 5,771 ", 888 ," 1,074 "," 3,516 "," 3,586 "," 4,015 "," 28,842 "," 1,297 "," 17,002 "," 11,942 ", 35 , 71 ," 5,145 ", 75 ," 83,259 ",,,,,,
18/11/2020," 5,857 ", 896 ," 1,077 "," 3,600 "," 3,648 "," 4,062 "," 29,262 "," 1,311 "," 17,314 "," 12,083 ", 35 , 71 ," 5,232 ", 75 ," 84,523 ",,,,,,
19/11/2020," 5,935 ", 910 ," 1,087 "," 3,665 "," 3,689 "," 4,124 "," 29,611 "," 1,322 "," 17,527 "," 12,266 ", 36 , 73 ," 5,292 ", 75 ," 85,612 ",,,,,,
20/11/2020," 6,021 ", 921 ," 1,092 "," 3,725 "," 3,745 "," 4,179 "," 30,002 "," 1,328 "," 17,689 "," 12,389 ", 36 , 73 ," 5,355 ", 75 ," 86,630 ",,,,,,
21/11/2020," 6,080 ", 933 ," 1,104 "," 3,777 "," 3,789 "," 4,215 "," 30,236 "," 1,334 "," 17,935 "," 12,529 ", 36 , 73 ," 5,401 ", 75 ," 87,517 ",,,,,,
22/11/2020," 6,126 ", 942 ," 1,109 "," 3,821 "," 3,815 "," 4,263 "," 30,545 "," 1,339 "," 18,116 "," 12,648 ", 36 , 73 ," 5,453 ", 75 ," 88,361 ",,,,,,
23/11/2020," 6,209 ", 950 ," 1,114 "," 3,881 "," 3,849 "," 4,306 "," 30,915 "," 1,346 "," 18,306 "," 12,743 ", 36 , 73 ," 5,507 ", 75 ," 89,310 ",,,,,,
24/11/2020," 6,259 ", 956 ," 1,115 "," 3,929 "," 3,893 "," 4,355 "," 31,162 "," 1,357 "," 18,462 "," 12,851 ", 36 , 71 ," 5,560 ", 75 ," 90,081 ",,,,,,
25/11/2020," 6,321 ", 962 ," 1,123 "," 3,969 "," 3,917 "," 4,477 "," 31,422 "," 1,371 "," 18,652 "," 12,945 ", 36 , 73 ," 5,618 ", 75 ," 90,961 ",,,,,,
26/11/2020," 6,440 ", 968 ," 1,129 "," 4,046 "," 3,984 "," 4,551 "," 31,805 "," 1,384 "," 18,887 "," 13,113 ", 37 , 75 ," 5,691 ", 76 ," 92,186 ",,,,,,
27/11/2020," 6,503 ", 973 ," 1,137 "," 4,106 "," 4,027 "," 4,624 "," 32,120 "," 1,391 "," 19,088 "," 13,234 ", 37 , 75 ," 5,762 ", 78 ," 93,155 ",,,,,,
28/11/2020," 6,561 ", 979 ," 1,141 "," 4,165 "," 4,072 "," 4,674 "," 32,341 "," 1,410 "," 19,254 "," 13,356 ", 37 , 75 ," 5,800 ", 78 ," 93,943 ",,,,,,
29/11/2020," 6,639 ", 980 ," 1,143 "," 4,212 "," 4,112 "," 4,721 "," 32,570 "," 1,422 "," 19,413 "," 13,434 ", 37 , 75 ," 5,853 ", 78 ," 94,689 ",,,,,,
30/11/2020," 6,672 ", 983 ," 1,143 "," 4,240 "," 4,120 "," 4,758 "," 32,703 "," 1,426 "," 19,461 "," 13,482 ", 37 , 75 ," 5,879 ", 78 ," 95,057 ",,,,,,
01/12/2020," 6,716 ", 994 ," 1,147 "," 4,300 "," 4,178 "," 4,801 "," 32,939 "," 1,433 "," 19,629 "," 13,565 ", 38 , 75 ," 5,915 ", 81 ," 95,811 ",,,,,,
02/12/2020," 6,786 "," 1,000 "," 1,155 "," 4,369 "," 4,226 "," 4,864 "," 33,282 "," 1,445 "," 19,783 "," 13,680 ", 38 , 75 ," 5,978 ", 81 ," 96,762 ",,,,,,
03/12/2020," 6,875 "," 1,007 "," 1,160 "," 4,429 "," 4,274 "," 4,940 "," 33,539 "," 1,461 "," 19,938 "," 13,830 ", 38 , 76 ," 6,071 ", 82 ," 97,720 ",,,,,,
04/12/2020," 6,944 "," 1,014 "," 1,167 "," 4,492 "," 4,321 "," 5,008 "," 33,797 "," 1,559 "," 20,104 "," 13,947 ", 38 , 76 ," 6,137 ", 82 ," 98,686 ",,,,,,
05/12/2020," 7,008 "," 1,020 "," 1,172 "," 4,544 "," 4,370 "," 5,077 "," 34,007 "," 1,574 "," 20,221 "," 14,096 ", 38 , 76 ," 6,178 ", 82 ," 99,463 ",,,,,,
06/12/2020," 7,078 "," 1,023 "," 1,177 "," 4,604 "," 4,394 "," 5,125 "," 34,197 "," 1,577 "," 20,347 "," 14,160 ", 38 , 76 ," 6,228 ", 82 ," 100,106 ",,,,,,
07/12/2020," 7,134 "," 1,029 "," 1,182 "," 4,656 "," 4,446 "," 5,190 "," 34,375 "," 1,584 "," 20,450 "," 14,274 ", 38 , 76 ," 6,267 ", 82 ," 100,783 ",,,,,,
